"uso_internet","sexo","edad","estudios"
"1","Mujer","31","Primaria"
"1","Hombre","40","Primaria"
"0","Mujer","30","Primaria"
"0","Hombre","46","Primaria"
"1","Hombre","34","Primaria"
"0","Mujer","76","Sin estudios"
"0","Hombre","74","Sin estudios"
"0","Mujer","61","Sin estudios"
"0","Mujer","50","Primaria"
"0","Mujer","57","Primaria"
"0","Mujer","66","Primaria"
"1","Hombre","25","Primaria"
"1","Mujer","40","U. Preg"
"0","Hombre","58","Primaria"
"0","Hombre","73","Primaria"
"1","Mujer","27","Maestría"
"0","Hombre","41","Form. Prof"
"0","Hombre","51","Form. Prof"
"0","Hombre","47","Primaria"
"0","Hombre","43","Primaria"
"1","Mujer","23","Primaria"
"1","Mujer","29","Primaria"
"1","Mujer","47","Maestría"
"0","Mujer","61","Sin estudios"
"1","Hombre","21","Secundaria"
"0","Hombre","39","Primaria"
"1","Mujer","32","Primaria"
"1","Hombre","34","Form. Prof"
"1","Mujer","47","Form. Prof"
"0","Mujer","66","Primaria"
"0","Hombre","73","Sin estudios"
"0","Hombre","63","Sin estudios"
"0","Mujer","40","Primaria"
"1","Hombre","39","Primaria"
"0","Mujer","73","Sin estudios"
"0","Hombre","37","Primaria"
"0","Mujer","58","Sin estudios"
"0","Mujer","37","Secundaria"
"1","Hombre","33","Primaria"
"1","Mujer","23","Primaria"
"0","Hombre","68","Primaria"
"1","Hombre","46","Primaria"
"0","Mujer","44","Primaria"
"1","Mujer","50","Form. Prof"
"0","Hombre","58","Primaria"
"1","Hombre","47","Primaria"
"0","Mujer","56","Primaria"
"0","Hombre","68","U. Preg"
"1","Hombre","29","Maestría"
"1","Hombre","36","Primaria"
"1","Mujer","32","Maestría"
"0","Mujer","65","Sin estudios"
"1","Mujer","32","Primaria"
"0","Hombre","38","Primaria"
"1","Mujer","19","Secundaria"
"0","Hombre","61","Primaria"
"1","Mujer","40","Primaria"
"1","Mujer","46","Secundaria"
"1","Mujer","40","Secundaria"
"0","Mujer","75","Primaria"
"0","Hombre","71","U. Preg"
"1","Hombre","18","Primaria"
"1","Hombre","30","U. Preg"
"0","Mujer","64","Primaria"
"1","Mujer","33","Primaria"
"1","Hombre","40","Form. Prof"
"0","Mujer","71","Primaria"
"0","Hombre","71","Sin estudios"
"1","Mujer","45","Primaria"
"0","Hombre","50","Sin estudios"
"1","Hombre","24","Primaria"
"0","Hombre","82","Primaria"
"0","Mujer","77","Sin estudios"
"0","Hombre","60","Primaria"
"0","Mujer","49","Primaria"
"1","Hombre","47","Primaria"
"1","Hombre","22","Primaria"
"0","Mujer","37","Primaria"
"1","Mujer","20","Form. Prof"
"0","Mujer","56","Primaria"
"0","Mujer","73","Sin estudios"
"1","Hombre","34","Primaria"
"1","Mujer","26","Primaria"
"1","Mujer","41","Primaria"
"0","Hombre","79","Sin estudios"
"0","Hombre","51","Primaria"
"0","Hombre","43","Primaria"
"0","Mujer","55","Primaria"
"1","Hombre","31","Primaria"
"1","Mujer","18","Primaria"
"0","Mujer","37","Primaria"
"0","Mujer","25","Secundaria"
"0","Hombre","39","Secundaria"
"1","Hombre","59","Primaria"
"0","Mujer","65","Primaria"
"1","Hombre","21","Primaria"
"1","Hombre","32","Primaria"
"0","Hombre","80","Primaria"
"0","Hombre","80","Primaria"
"0","Hombre","83","Sin estudios"
"0","Mujer","74","Primaria"
"0","Hombre","35","Form. Prof"
"1","Mujer","43","Form. Prof"
"0","Mujer","33","Primaria"
"0","Mujer","62","Primaria"
"1","Mujer","48","Secundaria"
"1","Hombre","41","Primaria"
"1","Mujer","29","Secundaria"
"1","Hombre","45","Primaria"
"0","Mujer","76","U. Preg"
"0","Hombre","54","Primaria"
"0","Mujer","76","Primaria"
"1","Hombre","20","Secundaria"
"1","Hombre","42","U. Preg"
"1","Hombre","25","Form. Prof"
"0","Hombre","57","Primaria"
"0","Mujer","70","Primaria"
"0","Mujer","33","Primaria"
"1","Mujer","44","Maestría"
"0","Mujer","56","U. Preg"
"1","Hombre","53","Form. Prof"
"1","Hombre","65","Secundaria"
"1","Mujer","29","U. Preg"
"1","Hombre","44","Form. Prof"
"0","Mujer","55","Secundaria"
"1","Mujer","54","U. Preg"
"1","Mujer","43","Maestría"
"0","Hombre","62","Primaria"
"0","Mujer","67","Primaria"
"1","Hombre","19","Primaria"
"0","Mujer","74","Primaria"
"0","Mujer","27","Secundaria"
"0","Hombre","34","Primaria"
"0","Hombre","54","Primaria"
"0","Hombre","75","Primaria"
"0","Hombre","28","Primaria"
"1","Hombre","46","Primaria"
"1","Hombre","18","Primaria"
"0","Mujer","74","Sin estudios"
"1","Mujer","35","Secundaria"
"0","Mujer","23","Secundaria"
"0","Hombre","25","Form. Prof"
"1","Mujer","18","Primaria"
"1","Hombre","56","Primaria"
"0","Mujer","33","Secundaria"
"0","Mujer","43","Primaria"
"0","Hombre","74","Secundaria"
"1","Mujer","69","Primaria"
"0","Mujer","58","Primaria"
"0","Hombre","48","Primaria"
"0","Hombre","74","Sin estudios"
"1","Mujer","39","Form. Prof"
"0","Hombre","44","Primaria"
"0","Mujer","53","Sin estudios"
"1","Mujer","19","Primaria"
"1","Hombre","44","U. Preg"
"0","Mujer","54","Primaria"
"1","Mujer","38","U. Preg"
"0","Mujer","85","Primaria"
"1","Mujer","31","U. Preg"
"0","Hombre","71","Primaria"
"1","Hombre","42","Maestría"
"0","Mujer","57","Sin estudios"
"1","Hombre","51","U. Preg"
"1","Hombre","64","Primaria"
"1","Hombre","31","Form. Prof"
"0","Mujer","66","Sin estudios"
"0","Mujer","31","Primaria"
"0","Hombre","81","Sin estudios"
"0","Mujer","47","Primaria"
"0","Mujer","19","Primaria"
"1","Hombre","24","Primaria"
"1","Hombre","48","Primaria"
"1","Hombre","25","Primaria"
"0","Hombre","50","Primaria"
"0","Mujer","38","Primaria"
"1","Mujer","21","U. Preg"
"1","Mujer","34","Secundaria"
"0","Mujer","65","Secundaria"
"0","Hombre","35","Primaria"
"1","Hombre","37","Primaria"
"1","Mujer","64","Primaria"
"1","Hombre","47","U. Preg"
"1","Mujer","19","Primaria"
"1","Hombre","38","Form. Prof"
"1","Hombre","28","Form. Prof"
"1","Mujer","33","Form. Prof"
"0","Mujer","75","Primaria"
"1","Hombre","73","Secundaria"
"1","Mujer","41","U. Preg"
"1","Hombre","54","Primaria"
"1","Hombre","23","Primaria"
"1","Hombre","32","U. Preg"
"0","Hombre","60","Primaria"
"0","Mujer","58","Maestría"
"1","Mujer","47","U. Preg"
"0","Mujer","71","Primaria"
"1","Mujer","35","U. Preg"
"1","Mujer","30","Form. Prof"
"1","Hombre","41","Maestría"
"0","Hombre","82","Primaria"
"1","Mujer","26","U. Preg"
"1","Mujer","28","Primaria"
"1","Hombre","25","Maestría"
"1","Mujer","43","Maestría"
"0","Mujer","84","Primaria"
"1","Hombre","38","Maestría"
"1","Hombre","48","Secundaria"
"0","Mujer","74","Primaria"
"1","Mujer","37","U. Preg"
"0","Mujer","72","Primaria"
"0","Hombre","69","Primaria"
"1","Hombre","29","Maestría"
"1","Mujer","29","U. Preg"
"0","Mujer","52","Primaria"
"1","Mujer","53","Secundaria"
"1","Hombre","35","Maestría"
"1","Mujer","24","Maestría"
"0","Mujer","83","Form. Prof"
"1","Hombre","32","Form. Prof"
"0","Mujer","57","Primaria"
"1","Hombre","39","Form. Prof"
"1","Mujer","39","Form. Prof"
"0","Mujer","64","Primaria"
"1","Mujer","33","U. Preg"
"1","Hombre","56","U. Preg"
"0","Hombre","57","Primaria"
"0","Mujer","48","Form. Prof"
"0","Hombre","70","Primaria"
"1","Hombre","29","Form. Prof"
"0","Mujer","66","Primaria"
"0","Hombre","69","Primaria"
"1","Hombre","28","Maestría"
"1","Hombre","41","Secundaria"
"0","Mujer","81","Primaria"
"1","Mujer","51","Secundaria"
"1","Mujer","56","Secundaria"
"1","Hombre","20","Secundaria"
"1","Hombre","38","U. Preg"
"0","Hombre","53","Primaria"
"1","Hombre","37","Form. Prof"
"1","Hombre","24","Form. Prof"
"0","Hombre","40","Form. Prof"
"1","Mujer","24","Primaria"
"1","Hombre","29","Form. Prof"
"0","Mujer","75","Primaria"
"1","Mujer","35","Secundaria"
"1","Mujer","34","Primaria"
"1","Hombre","34","Form. Prof"
"1","Mujer","35","Maestría"
"0","Hombre","61","Secundaria"
"0","Mujer","72","Primaria"
"1","Mujer","25","Form. Prof"
"0","Mujer","64","Primaria"
"1","Hombre","49","Secundaria"
"1","Hombre","41","U. Preg"
"1","Hombre","32","Primaria"
"1","Hombre","24","Primaria"
"1","Mujer","18","Form. Prof"
"0","Mujer","56","Primaria"
"1","Hombre","35","Maestría"
"1","Hombre","65","Primaria"
"0","Mujer","46","Form. Prof"
"0","Mujer","86","Primaria"
"0","Hombre","60","Maestría"
"1","Mujer","26","Maestría"
"0","Mujer","85","Sin estudios"
"1","Hombre","18","Secundaria"
"1","Mujer","23","Primaria"
"1","Hombre","20","Secundaria"
"0","Mujer","70","Form. Prof"
"0","Mujer","31","Primaria"
"0","Mujer","51","Secundaria"
"1","Hombre","27","Form. Prof"
"0","Mujer","69","Primaria"
"1","Hombre","32","Form. Prof"
"1","Hombre","32","Form. Prof"
"1","Hombre","39","Maestría"
"0","Mujer","48","Primaria"
"0","Hombre","56","Primaria"
"1","Mujer","21","Secundaria"
"1","Mujer","41","Form. Prof"
"1","Hombre","54","Primaria"
"0","Mujer","32","Primaria"
"1","Hombre","53","Primaria"
"1","Mujer","26","Primaria"
"0","Mujer","51","Primaria"
"0","Mujer","67","Primaria"
"0","Hombre","60","Primaria"
"0","Hombre","70","Primaria"
"1","Hombre","41","Form. Prof"
"1","Mujer","39","Maestría"
"0","Mujer","51","Form. Prof"
"1","Hombre","28","U. Preg"
"0","Mujer","64","Primaria"
"1","Hombre","41","Form. Prof"
"1","Hombre","55","Maestría"
"1","Hombre","32","Maestría"
"1","Hombre","33","Form. Prof"
"1","Mujer","43","Primaria"
"1","Mujer","25","Primaria"
"1","Mujer","67","Secundaria"
"0","Hombre","55","Primaria"
"0","Mujer","47","Primaria"
"0","Hombre","65","Form. Prof"
"0","Hombre","59","Sin estudios"
"1","Mujer","45","Secundaria"
"0","Mujer","71","Form. Prof"
"1","Mujer","35","Maestría"
"1","Mujer","24","U. Preg"
"0","Hombre","82","Primaria"
"1","Hombre","18","Secundaria"
"1","Hombre","28","Maestría"
"1","Hombre","44","Maestría"
"1","Mujer","18","Primaria"
"0","Mujer","81","Sin estudios"
"0","Hombre","73","Primaria"
"1","Hombre","51","Primaria"
"1","Mujer","28","Primaria"
"1","Hombre","22","Primaria"
"1","Hombre","43","Form. Prof"
"0","Mujer","43","Form. Prof"
"1","Hombre","33","U. Preg"
"0","Mujer","65","Primaria"
"0","Hombre","64","Primaria"
"1","Hombre","27","U. Preg"
"0","Mujer","50","Primaria"
"1","Mujer","33","Maestría"
"0","Mujer","81","Form. Prof"
"0","Mujer","68","Secundaria"
"1","Hombre","45","Primaria"
"1","Hombre","40","Secundaria"
"1","Mujer","45","Maestría"
"1","Mujer","42","Form. Prof"
"1","Mujer","41","Primaria"
"1","Mujer","48","Form. Prof"
"1","Mujer","73","Primaria"
"0","Hombre","68","Sin estudios"
"1","Mujer","28","Maestría"
"1","Mujer","22","Form. Prof"
"0","Mujer","61","Primaria"
"1","Hombre","23","Form. Prof"
"0","Hombre","78","Primaria"
"1","Hombre","53","Primaria"
"1","Hombre","33","Form. Prof"
"0","Mujer","68","Primaria"
"0","Mujer","55","Primaria"
"1","Hombre","31","Primaria"
"1","Mujer","21","Secundaria"
"1","Hombre","33","Maestría"
"0","Mujer","77","Primaria"
"1","Mujer","45","Secundaria"
"1","Hombre","66","Form. Prof"
"0","Mujer","63","Primaria"
"1","Hombre","21","Secundaria"
"1","Hombre","41","Maestría"
"1","Hombre","49","Primaria"
"1","Mujer","32","Form. Prof"
"0","Hombre","67","Primaria"
"1","Mujer","29","Primaria"
"0","Hombre","74","Sin estudios"
"1","Hombre","40","Secundaria"
"0","Hombre","30","Primaria"
"1","Hombre","30","Primaria"
"1","Hombre","36","Primaria"
"0","Mujer","65","Sin estudios"
"1","Hombre","81","Primaria"
"0","Mujer","63","Sin estudios"
"1","Mujer","24","Maestría"
"1","Mujer","42","Maestría"
"1","Hombre","52","Primaria"
"1","Mujer","41","Maestría"
"0","Hombre","71","Sin estudios"
"0","Hombre","37","Form. Prof"
"1","Mujer","29","U. Preg"
"1","Mujer","51","U. Preg"
"1","Hombre","48","Form. Prof"
"0","Mujer","57","Primaria"
"1","Hombre","43","Secundaria"
"1","Hombre","22","Primaria"
"1","Hombre","35","Form. Prof"
"0","Hombre","90","Sin estudios"
"1","Mujer","68","U. Preg"
"0","Mujer","41","Primaria"
"1","Hombre","19","Secundaria"
"1","Hombre","39","Primaria"
"0","Hombre","52","Primaria"
"1","Hombre","19","Form. Prof"
"0","Mujer","34","Primaria"
"1","Hombre","28","Maestría"
"0","Mujer","58","Primaria"
"0","Hombre","64","Primaria"
"0","Mujer","42","U. Preg"
"0","Mujer","69","Sin estudios"
"1","Hombre","26","Secundaria"
"0","Hombre","73","Primaria"
"1","Hombre","50","Secundaria"
"0","Mujer","43","Form. Prof"
"0","Mujer","82","Primaria"
"0","Mujer","55","Form. Prof"
"1","Hombre","35","Form. Prof"
"0","Mujer","79","Sin estudios"
"1","Mujer","33","Form. Prof"
"1","Hombre","30","Primaria"
"0","Hombre","57","Form. Prof"
"1","Hombre","30","U. Preg"
"1","Hombre","32","U. Preg"
"0","Mujer","63","Primaria"
"1","Mujer","50","Form. Prof"
"1","Mujer","44","Form. Prof"
"0","Mujer","71","Sin estudios"
"0","Mujer","42","Primaria"
"0","Mujer","47","Primaria"
"1","Mujer","24","Form. Prof"
"1","Hombre","55","U. Preg"
"1","Hombre","32","Secundaria"
"1","Mujer","32","Maestría"
"0","Mujer","78","Primaria"
"0","Mujer","73","Sin estudios"
"0","Mujer","60","Primaria"
"1","Mujer","33","Primaria"
"0","Mujer","35","Primaria"
"0","Mujer","52","Primaria"
"1","Hombre","31","Form. Prof"
"0","Hombre","49","Primaria"
"1","Hombre","35","Secundaria"
"1","Hombre","28","Primaria"
"1","Mujer","38","Primaria"
"1","Mujer","30","U. Preg"
"1","Hombre","56","Primaria"
"1","Mujer","30","Secundaria"
"1","Mujer","37","Maestría"
"1","Hombre","31","U. Preg"
"0","Mujer","64","Primaria"
"1","Hombre","50","Secundaria"
"1","Hombre","55","Maestría"
"0","Mujer","43","Secundaria"
"1","Hombre","37","Primaria"
"1","Hombre","49","Primaria"
"1","Hombre","21","Primaria"
"0","Hombre","57","Form. Prof"
"1","Mujer","21","Primaria"
"1","Hombre","38","Primaria"
"0","Hombre","70","Primaria"
"0","Mujer","57","Primaria"
"0","Mujer","82","Sin estudios"
"0","Mujer","40","Primaria"
"0","Mujer","72","Sin estudios"
"1","Hombre","36","Form. Prof"
"0","Hombre","65","Primaria"
"1","Hombre","23","Primaria"
"1","Mujer","29","Secundaria"
"1","Hombre","48","Secundaria"
"0","Mujer","41","Primaria"
"0","Mujer","57","Primaria"
"1","Mujer","47","Maestría"
"0","Mujer","70","Primaria"
"1","Hombre","60","Maestría"
"1","Mujer","18","Primaria"
"1","Hombre","40","Maestría"
"1","Mujer","35","Secundaria"
"1","Hombre","46","Form. Prof"
"1","Mujer","55","Secundaria"
"1","Hombre","60","Primaria"
"1","Hombre","29","Form. Prof"
"1","Mujer","34","Form. Prof"
"1","Mujer","39","Form. Prof"
"1","Mujer","19","Secundaria"
"1","Hombre","47","Secundaria"
"0","Hombre","65","Primaria"
"1","Mujer","35","Form. Prof"
"0","Hombre","54","Primaria"
"1","Hombre","60","Form. Prof"
"0","Mujer","78","Primaria"
"0","Mujer","26","Form. Prof"
"0","Mujer","59","U. Preg"
"1","Hombre","33","Form. Prof"
"1","Mujer","33","Secundaria"
"1","Hombre","58","U. Preg"
"0","Hombre","80","Primaria"
"1","Mujer","47","Form. Prof"
"1","Mujer","43","Maestría"
"1","Hombre","46","Maestría"
"1","Mujer","20","Form. Prof"
"1","Hombre","37","Maestría"
"0","Mujer","85","Maestría"
"0","Mujer","75","Primaria"
"0","Hombre","80","Primaria"
"1","Hombre","33","Secundaria"
"0","Mujer","77","Sin estudios"
"0","Mujer","52","Primaria"
"0","Hombre","37","Primaria"
"0","Mujer","57","Primaria"
"1","Hombre","28","Form. Prof"
"0","Hombre","62","Primaria"
"0","Hombre","33","Primaria"
"1","Hombre","50","Maestría"
"0","Hombre","75","Primaria"
"1","Mujer","26","Maestría"
"1","Mujer","41","U. Preg"
"1","Mujer","35","Primaria"
"1","Mujer","34","Maestría"
"1","Mujer","44","U. Preg"
"1","Hombre","18","Primaria"
"1","Hombre","26","Secundaria"
"0","Mujer","62","Primaria"
"0","Hombre","54","Secundaria"
"0","Hombre","64","Form. Prof"
"1","Hombre","36","Maestría"
"0","Mujer","31","Form. Prof"
"1","Mujer","54","U. Preg"
"0","Mujer","41","Secundaria"
"1","Mujer","20","U. Preg"
"1","Mujer","65","Secundaria"
"0","Hombre","53","Form. Prof"
"0","Mujer","65","U. Preg"
"0","Hombre","76","Primaria"
"0","Mujer","58","Primaria"
"1","Mujer","46","U. Preg"
"0","Hombre","23","Primaria"
"0","Mujer","80","Sin estudios"
"1","Hombre","43","Primaria"
"1","Mujer","37","Secundaria"
"1","Hombre","28","Primaria"
"1","Mujer","47","Secundaria"
"0","Mujer","86","Sin estudios"
"0","Hombre","48","Primaria"
"0","Hombre","74","Primaria"
"1","Hombre","35","Primaria"
"0","Mujer","59","Primaria"
"1","Mujer","26","U. Preg"
"1","Hombre","25","Secundaria"
"0","Hombre","75","Primaria"
"1","Mujer","42","Primaria"
"0","Mujer","84","Sin estudios"
"1","Mujer","31","Primaria"
"1","Hombre","32","Primaria"
"1","Hombre","22","Form. Prof"
"0","Hombre","59","Primaria"
"0","Mujer","57","Primaria"
"1","Hombre","40","Form. Prof"
"1","Hombre","46","Secundaria"
"1","Hombre","43","Form. Prof"
"1","Mujer","43","Maestría"
"1","Mujer","28","Maestría"
"1","Hombre","70","Form. Prof"
"1","Mujer","53","Maestría"
"0","Mujer","27","Secundaria"
"1","Mujer","40","U. Preg"
"1","Hombre","31","U. Preg"
"0","Mujer","56","Primaria"
"1","Mujer","27","Form. Prof"
"0","Mujer","75","Primaria"
"0","Hombre","42","Primaria"
"1","Mujer","46","Primaria"
"1","Hombre","48","Form. Prof"
"0","Mujer","81","Sin estudios"
"0","Hombre","52","Primaria"
"0","Mujer","30","Primaria"
"1","Hombre","43","Primaria"
"0","Mujer","18","Primaria"
"1","Mujer","42","Secundaria"
"0","Hombre","72","Sin estudios"
"0","Hombre","21","Primaria"
"0","Hombre","63","Primaria"
"1","Mujer","41","Primaria"
"0","Hombre","35","Sin estudios"
"0","Mujer","72","Sin estudios"
"0","Mujer","61","Sin estudios"
"1","Hombre","20","Primaria"
"0","Mujer","74","Sin estudios"
"1","Hombre","63","Primaria"
"1","Hombre","27","Primaria"
"1","Mujer","29","Form. Prof"
"0","Mujer","50","Form. Prof"
"1","Hombre","33","Primaria"
"1","Hombre","25","Form. Prof"
"1","Mujer","51","Maestría"
"1","Hombre","47","Secundaria"
"0","Hombre","69","Primaria"
"1","Mujer","26","Secundaria"
"1","Mujer","18","Secundaria"
"0","Mujer","67","Sin estudios"
"1","Mujer","37","U. Preg"
"1","Hombre","43","U. Preg"
"1","Hombre","37","Secundaria"
"1","Hombre","19","Secundaria"
"1","Hombre","29","Maestría"
"1","Mujer","34","Primaria"
"0","Mujer","58","Primaria"
"0","Hombre","67","Sin estudios"
"0","Mujer","43","Primaria"
"0","Mujer","45","Primaria"
"0","Mujer","77","Primaria"
"1","Hombre","41","Primaria"
"0","Hombre","79","Sin estudios"
"1","Hombre","29","Primaria"
"1","Hombre","40","Form. Prof"
"0","Mujer","20","Primaria"
"0","Mujer","26","Primaria"
"0","Mujer","54","Sin estudios"
"0","Mujer","57","Primaria"
"0","Mujer","38","Primaria"
"0","Hombre","48","Primaria"
"1","Hombre","26","Primaria"
"0","Hombre","68","Sin estudios"
"0","Hombre","26","Primaria"
"0","Mujer","31","Secundaria"
"0","Mujer","73","Sin estudios"
"1","Hombre","38","Primaria"
"1","Mujer","40","Primaria"
"0","Hombre","52","Primaria"
"0","Hombre","66","Primaria"
"1","Mujer","32","Primaria"
"0","Mujer","56","Primaria"
"1","Hombre","28","Primaria"
"0","Mujer","81","Sin estudios"
"1","Hombre","21","Primaria"
"0","Mujer","39","Form. Prof"
"0","Hombre","44","Primaria"
"1","Hombre","26","U. Preg"
"1","Mujer","45","Primaria"
"0","Hombre","67","Primaria"
"1","Mujer","31","U. Preg"
"1","Mujer","32","Form. Prof"
"0","Mujer","44","Primaria"
"0","Mujer","70","Sin estudios"
"0","Hombre","75","Sin estudios"
"0","Mujer","55","Primaria"
"0","Hombre","50","Form. Prof"
"0","Hombre","62","Primaria"
"1","Hombre","31","Maestría"
"1","Hombre","40","Form. Prof"
"0","Mujer","59","Primaria"
"1","Hombre","48","Form. Prof"
"0","Mujer","30","Primaria"
"0","Mujer","65","U. Preg"
"1","Mujer","45","Maestría"
"0","Hombre","56","Primaria"
"0","Mujer","58","U. Preg"
"1","Hombre","28","Primaria"
"1","Mujer","32","Maestría"
"0","Mujer","70","Primaria"
"0","Hombre","77","Sin estudios"
"0","Hombre","57","Primaria"
"0","Mujer","52","Primaria"
"0","Mujer","39","Primaria"
"0","Hombre","40","Primaria"
"0","Hombre","86","Primaria"
"1","Hombre","20","Primaria"
"0","Mujer","65","Sin estudios"
"0","Hombre","40","Primaria"
"0","Hombre","51","Primaria"
"1","Hombre","20","Primaria"
"0","Hombre","70","Primaria"
"1","Mujer","40","Primaria"
"1","Hombre","28","U. Preg"
"0","Hombre","44","Primaria"
"0","Mujer","44","Primaria"
"0","Mujer","67","Primaria"
"1","Hombre","34","U. Preg"
"0","Hombre","75","Primaria"
"0","Mujer","57","Primaria"
"1","Mujer","18","Primaria"
"1","Hombre","48","Secundaria"
"1","Hombre","37","U. Preg"
"0","Mujer","45","Primaria"
"1","Mujer","23","Primaria"
"1","Hombre","48","Primaria"
"0","Mujer","44","Primaria"
"1","Mujer","29","Primaria"
"0","Hombre","56","Primaria"
"1","Hombre","34","Primaria"
"1","Mujer","32","Form. Prof"
"1","Mujer","42","Primaria"
"0","Hombre","55","Primaria"
"0","Hombre","40","Form. Prof"
"0","Hombre","71","Primaria"
"0","Mujer","62","Primaria"
"1","Mujer","18","Primaria"
"0","Mujer","87","Sin estudios"
"0","Mujer","68","Sin estudios"
"0","Hombre","55","Sin estudios"
"0","Hombre","39","Primaria"
"0","Mujer","57","Primaria"
"0","Hombre","19","Primaria"
"1","Hombre","30","Primaria"
"0","Mujer","46","Primaria"
"1","Mujer","35","U. Preg"
"0","Mujer","22","Form. Prof"
"1","Mujer","28","Primaria"
"0","Mujer","70","Sin estudios"
"0","Mujer","38","Primaria"
"1","Mujer","45","Primaria"
"0","Hombre","28","Primaria"
"0","Hombre","48","Primaria"
"1","Hombre","36","Maestría"
"0","Hombre","86","Sin estudios"
"0","Hombre","54","Primaria"
"0","Hombre","44","Primaria"
"0","Mujer","37","U. Preg"
"1","Hombre","28","Form. Prof"
"0","Hombre","54","Primaria"
"0","Hombre","73","Primaria"
"0","Mujer","73","Primaria"
"0","Mujer","32","Primaria"
"0","Mujer","61","Primaria"
"0","Hombre","68","Primaria"
"0","Mujer","83","U. Preg"
"0","Hombre","45","Primaria"
"1","Mujer","30","Maestría"
"1","Mujer","38","Primaria"
"1","Hombre","24","Primaria"
"0","Mujer","51","U. Preg"
"1","Hombre","38","Form. Prof"
"0","Mujer","64","Primaria"
"0","Mujer","74","U. Preg"
"0","Mujer","48","Primaria"
"1","Mujer","21","Form. Prof"
"0","Mujer","29","Primaria"
"1","Hombre","31","Form. Prof"
"0","Hombre","71","Primaria"
"1","Hombre","48","Primaria"
"0","Hombre","64","Secundaria"
"1","Hombre","35","Primaria"
"0","Mujer","60","Secundaria"
"0","Hombre","63","Primaria"
"1","Hombre","19","Secundaria"
"0","Hombre","47","Primaria"
"0","Hombre","78","Primaria"
"0","Mujer","52","Primaria"
"1","Mujer","44","Secundaria"
"0","Mujer","76","Primaria"
"0","Mujer","78","Sin estudios"
"1","Hombre","41","Maestría"
"0","Mujer","63","Primaria"
"1","Mujer","44","Secundaria"
"0","Mujer","68","Sin estudios"
"0","Hombre","66","Primaria"
"1","Hombre","25","Secundaria"
"1","Mujer","25","Maestría"
"1","Hombre","46","Secundaria"
"0","Mujer","67","Primaria"
"0","Mujer","59","Primaria"
"0","Hombre","40","Primaria"
"1","Mujer","25","Form. Prof"
"0","Hombre","76","Sin estudios"
"1","Hombre","22","Form. Prof"
"1","Mujer","53","Secundaria"
"1","Hombre","31","Primaria"
"0","Mujer","42","Primaria"
"0","Hombre","60","Primaria"
"0","Mujer","32","Secundaria"
"0","Hombre","25","Form. Prof"
"0","Hombre","70","Primaria"
"0","Mujer","80","Sin estudios"
"0","Hombre","47","Form. Prof"
"1","Mujer","20","Secundaria"
"1","Hombre","56","Maestría"
"0","Hombre","53","Primaria"
"0","Mujer","73","Sin estudios"
"0","Mujer","66","Sin estudios"
"1","Hombre","33","Primaria"
"1","Mujer","40","Primaria"
"1","Hombre","65","Form. Prof"
"0","Mujer","52","Primaria"
"1","Mujer","26","Form. Prof"
"1","Mujer","26","Form. Prof"
"0","Hombre","52","Sin estudios"
"1","Mujer","24","Form. Prof"
"0","Hombre","53","Secundaria"
"0","Hombre","35","Primaria"
"0","Mujer","69","Sin estudios"
