"ID","uso_internet","sexo","edad","estudios"
"264",0,"Mujer",71,"Primaria"
"265",1,"Mujer",35,"Universitarios"
"266",1,"Mujer",30,"Form Profesional"
"267",1,"Hombre",41,"Maestría"
"268",0,"Hombre",82,"Primaria"
"269",1,"Mujer",26,"Universitarios"
"270",1,"Mujer",28,"Primaria"
"271",1,"Hombre",25,"Maestría"
"272",1,"Mujer",43,"Maestría"
"273",0,"Mujer",84,"Primaria"
"274",1,"Hombre",38,"Maestría"
"275",1,"Hombre",48,"Secundaria"
"276",0,"Mujer",74,"Primaria"
"277",1,"Mujer",37,"Universitarios"
"278",0,"Mujer",72,"Primaria"
"279",0,"Hombre",69,"Primaria"
"280",1,"Hombre",29,"Maestría"
"281",1,"Mujer",29,"Universitarios"
"282",0,"Mujer",52,"Primaria"
"283",1,"Mujer",53,"Secundaria"
"284",1,"Hombre",35,"Maestría"
"285",1,"Mujer",24,"Maestría"
"286",0,"Mujer",83,"Form Profesional"
"287",1,"Hombre",32,"Form Profesional"
"288",0,"Mujer",57,"Primaria"
"289",1,"Hombre",39,"Form Profesional"
"290",1,"Mujer",39,"Form Profesional"
"291",0,"Mujer",64,"Primaria"
"292",1,"Mujer",33,"Universitarios"
"293",1,"Hombre",56,"Universitarios"
"294",0,"Hombre",57,"Primaria"
"295",0,"Mujer",48,"Form Profesional"
"296",0,"Hombre",70,"Primaria"
"297",1,"Hombre",29,"Form Profesional"
"298",0,"Mujer",66,"Primaria"
"299",0,"Hombre",69,"Primaria"
"300",1,"Hombre",28,"Maestría"
"301",1,"Hombre",41,"Secundaria"
"302",0,"Mujer",81,"Primaria"
"303",1,"Mujer",51,"Secundaria"
"304",1,"Mujer",56,"Secundaria"
"305",1,"Hombre",20,"Secundaria"
"306",1,"Hombre",38,"Universitarios"
"307",0,"Hombre",53,"Primaria"
"308",1,"Hombre",37,"Form Profesional"
"309",1,"Hombre",24,"Form Profesional"
"310",0,"Hombre",40,"Form Profesional"
"311",1,"Mujer",24,"Primaria"
"312",1,"Hombre",29,"Form Profesional"
"313",0,"Mujer",75,"Primaria"
"314",1,"Mujer",35,"Secundaria"
"315",1,"Mujer",34,"Primaria"
"316",1,"Hombre",34,"Form Profesional"
"317",1,"Mujer",35,"Maestría"
"318",0,"Hombre",61,"Secundaria"
"319",0,"Mujer",72,"Primaria"
"320",1,"Mujer",25,"Form Profesional"
"321",0,"Mujer",64,"Primaria"
"322",1,"Hombre",49,"Secundaria"
"323",1,"Hombre",41,"Universitarios"
"324",1,"Hombre",32,"Primaria"
"325",1,"Hombre",24,"Primaria"
"326",1,"Mujer",18,"Form Profesional"
"327",0,"Mujer",56,"Primaria"
"328",1,"Hombre",35,"Maestría"
"329",1,"Hombre",65,"Primaria"
"330",0,"Mujer",46,"Form Profesional"
"331",0,"Mujer",86,"Primaria"
"332",0,"Hombre",60,"Maestría"
"333",1,"Mujer",26,"Maestría"
"334",0,"Mujer",85,"Sin estudios"
"335",1,"Hombre",18,"Secundaria"
"336",1,"Mujer",23,"Primaria"
"337",1,"Hombre",20,"Secundaria"
"338",0,"Mujer",70,"Form Profesional"
"339",0,"Mujer",31,"Primaria"
"340",0,"Mujer",51,"Secundaria"
"341",1,"Hombre",27,"Form Profesional"
"342",0,"Mujer",69,"Primaria"
"343",1,"Hombre",32,"Form Profesional"
"344",1,"Hombre",32,"Form Profesional"
"345",1,"Hombre",39,"Maestría"
"346",0,"Mujer",48,"Primaria"
"347",0,"Hombre",56,"Primaria"
"348",1,"Mujer",21,"Secundaria"
"349",1,"Mujer",41,"Form Profesional"
"350",1,"Hombre",54,"Primaria"
"351",0,"Mujer",32,"Primaria"
"352",1,"Hombre",53,"Primaria"
"353",1,"Mujer",26,"Primaria"
"354",0,"Mujer",51,"Primaria"
"355",0,"Mujer",67,"Primaria"
"356",0,"Hombre",60,"Primaria"
"357",0,"Hombre",70,"Primaria"
"358",1,"Hombre",41,"Form Profesional"
"359",1,"Mujer",39,"Maestría"
"360",0,"Mujer",51,"Form Profesional"
"361",1,"Hombre",28,"Universitarios"
"362",0,"Mujer",64,"Primaria"
"363",1,"Hombre",41,"Form Profesional"
"364",1,"Hombre",55,"Maestría"
"365",1,"Hombre",32,"Maestría"
"366",1,"Hombre",33,"Form Profesional"
"367",1,"Mujer",43,"Primaria"
"368",1,"Mujer",25,"Primaria"
"369",1,"Mujer",67,"Secundaria"
"370",0,"Hombre",55,"Primaria"
"371",0,"Mujer",47,"Primaria"
"372",0,"Hombre",65,"Form Profesional"
"373",0,"Hombre",59,"Sin estudios"
"374",1,"Mujer",45,"Secundaria"
"375",0,"Mujer",71,"Form Profesional"
"376",1,"Mujer",35,"Maestría"
"377",1,"Mujer",24,"Universitarios"
"378",0,"Hombre",82,"Primaria"
"379",1,"Hombre",18,"Secundaria"
"380",1,"Hombre",28,"Maestría"
"381",1,"Hombre",44,"Maestría"
"382",1,"Mujer",18,"Primaria"
"383",0,"Mujer",81,"Sin estudios"
"384",0,"Hombre",73,"Primaria"
"385",1,"Hombre",51,"Primaria"
"386",1,"Mujer",28,"Primaria"
"387",1,"Hombre",22,"Primaria"
"388",1,"Hombre",43,"Form Profesional"
"389",0,"Mujer",43,"Form Profesional"
"390",1,"Hombre",33,"Universitarios"
"391",0,"Mujer",65,"Primaria"
"392",0,"Hombre",64,"Primaria"
"393",1,"Hombre",27,"Universitarios"
"394",0,"Mujer",50,"Primaria"
"395",1,"Mujer",33,"Maestría"
"396",0,"Mujer",81,"Form Profesional"
"397",0,"Mujer",68,"Secundaria"
"398",1,"Hombre",45,"Primaria"
"399",1,"Hombre",40,"Secundaria"
"400",1,"Mujer",45,"Maestría"
"401",1,"Mujer",42,"Form Profesional"
"402",1,"Mujer",41,"Primaria"
"403",1,"Mujer",48,"Form Profesional"
"404",1,"Mujer",73,"Primaria"
"405",0,"Hombre",68,"Sin estudios"
"406",1,"Mujer",28,"Maestría"
"407",1,"Mujer",22,"Form Profesional"
"408",0,"Mujer",61,"Primaria"
"409",1,"Hombre",23,"Form Profesional"
"410",0,"Hombre",78,"Primaria"
"411",1,"Hombre",53,"Primaria"
"412",1,"Hombre",33,"Form Profesional"
"413",0,"Mujer",68,"Primaria"
"414",0,"Mujer",55,"Primaria"
"415",1,"Hombre",31,"Primaria"
"416",1,"Mujer",21,"Secundaria"
"417",1,"Hombre",33,"Maestría"
"418",0,"Mujer",77,"Primaria"
"419",1,"Mujer",45,"Secundaria"
"420",1,"Hombre",66,"Form Profesional"
"421",0,"Mujer",63,"Primaria"
"422",1,"Hombre",21,"Secundaria"
"423",1,"Hombre",41,"Maestría"
"424",1,"Hombre",49,"Primaria"
"425",1,"Mujer",32,"Form Profesional"
"426",0,"Hombre",67,"Primaria"
"427",1,"Mujer",29,"Primaria"
"428",0,"Hombre",74,"Sin estudios"
"429",1,"Hombre",40,"Secundaria"
"430",0,"Hombre",30,"Primaria"
"431",1,"Hombre",30,"Primaria"
"432",1,"Hombre",36,"Primaria"
"433",0,"Mujer",65,"Sin estudios"
"434",1,"Hombre",81,"Primaria"
"435",0,"Mujer",63,"Sin estudios"
"436",1,"Mujer",24,"Maestría"
"437",1,"Mujer",42,"Maestría"
"438",1,"Hombre",52,"Primaria"
"439",1,"Mujer",41,"Maestría"
"440",0,"Hombre",71,"Sin estudios"
"441",0,"Hombre",37,"Form Profesional"
"442",1,"Mujer",29,"Universitarios"
"443",1,"Mujer",51,"Universitarios"
"444",1,"Hombre",48,"Form Profesional"
"445",0,"Mujer",57,"Primaria"
"446",1,"Hombre",43,"Secundaria"
